iter	Passed	Remaining
0	154	154545
1	171	85702
2	184	61433
3	198	49346
4	213	42541
5	228	37792
6	238	33790
7	249	30958
8	260	28635
9	267	26460
10	274	24721
11	279	23009
12	283	21560
13	288	20338
14	293	19251
15	297	18290
16	301	17427
17	306	16732
18	311	16086
19	315	15478
20	320	14962
21	328	14618
22	333	14156
23	338	13782
24	343	13378
25	347	13016
26	354	12778
27	359	12481
28	363	12181
29	369	11946
30	373	11678
31	377	11425
32	382	11207
33	387	11013
34	391	10807
35	396	10620
36	402	10471
37	406	10294
38	411	10133
39	417	10015
40	421	9860
41	426	9733
42	432	9623
43	436	9487
44	441	9366
45	447	9271
46	451	9149
47	455	9029
48	461	8950
49	465	8848
50	469	8745
51	474	8654
52	480	8579
53	484	8489
54	489	8404
55	494	8337
56	498	8250
57	503	8170
58	508	8116
59	513	8041
60	517	7972
61	522	7907
62	527	7841
63	531	7779
64	536	7712
65	541	7667
66	546	7606
67	550	7547
68	556	7505
69	562	7467
70	566	7410
71	572	7375
72	577	7331
73	581	7275
74	587	7242
75	591	7187
76	595	7132
77	600	7092
78	605	7053
79	609	7004
80	613	6955
81	618	6922
82	622	6874
83	626	6830
84	632	6809
85	636	6766
86	640	6722
87	644	6680
88	650	6654
89	654	6614
90	658	6574
91	663	6548
92	667	6514
93	672	6481
94	677	6452
95	682	6423
96	686	6387
97	690	6355
98	696	6334
99	699	6299
100	703	6265
101	709	6248
102	714	6219
103	718	6187
104	722	6158
105	727	6138
106	731	6108
107	736	6082
108	741	6063
109	745	6035
110	750	6010
111	754	5985
112	760	5969
113	765	5949
114	769	5923
115	775	5909
116	779	5884
117	784	5860
118	789	5843
119	793	5821
120	797	5796
121	802	5772
122	807	5754
123	811	5734
124	815	5710
125	820	5692
126	825	5671
127	828	5647
128	833	5626
129	839	5618
130	844	5601
131	849	5585
132	855	5576
133	860	5562
134	866	5549
135	870	5531
136	876	5521
137	881	5505
138	886	5491
139	893	5488
140	897	5469
141	902	5452
142	908	5447
143	913	5430
144	917	5412
145	923	5401
146	927	5383
147	932	5366
148	938	5360
149	943	5344
150	947	5329
151	952	5311
