iter	Passed	Remaining
0	17	17443
1	25	12601
2	34	11310
3	43	10733
4	51	10327
5	59	9834
6	68	9732
7	78	9774
8	87	9673
9	96	9535
10	103	9336
11	111	9200
12	119	9069
13	127	8984
14	135	8915
15	143	8832
16	151	8776
17	159	8694
18	166	8603
19	175	8581
20	184	8579
21	191	8531
22	202	8583
23	210	8557
24	220	8589
25	230	8621
26	238	8594
27	247	8599
28	255	8565
29	267	8653
30	293	9188
31	304	9224
32	320	9390
33	337	9582
34	347	9578
35	357	9584
36	368	9600
37	377	9546
38	384	9477
39	393	9435
40	400	9359
41	408	9322
42	415	9254
43	425	9244
44	434	9219
45	442	9184
46	451	9161
47	461	9152
48	470	9127
49	481	9147
50	493	9186
51	503	9181
52	514	9199
53	526	9231
54	541	9296
55	554	9353
56	566	9371
57	578	9396
58	589	9394
59	599	9389
60	612	9432
61	629	9529
62	643	9566
63	658	9624
64	671	9660
65	682	9652
66	693	9662
67	707	9697
68	723	9761
69	740	9833
70	755	9883
71	766	9875
72	780	9913
73	795	9949
74	808	9969
75	822	9995
76	836	10027
77	852	10072
78	864	10074
79	874	10053
80	883	10019
81	891	9983
82	900	9953
83	909	9917
84	920	9904
85	928	9872
86	938	9852
87	946	9810
88	958	9806
89	969	9800
90	977	9761
91	989	9762
92	999	9751
93	1007	9712
94	1016	9687
95	1024	9644
96	1033	9621
97	1040	9574
98	1049	9550
99	1057	9519
100	1067	9500
101	1074	9458
102	1082	9424
103	1089	9382
104	1097	9351
105	1103	9308
106	1110	9271
107	1118	9237
108	1125	9203
109	1134	9175
110	1141	9144
111	1150	9120
112	1157	9085
113	1165	9054
114	1171	9018
115	1179	8988
116	1186	8956
117	1194	8930
118	1201	8894
119	1208	8858
120	1216	8840
121	1223	8808
122	1232	8784
123	1238	8752
124	1248	8741
125	1255	8709
126	1265	8699
127	1273	8672
128	1282	8659
129	1289	8632
130	1297	8606
131	1305	8582
132	1312	8559
133	1320	8534
134	1328	8513
135	1335	8486
136	1343	8465
137	1351	8439
138	1358	8416
139	1365	8390
140	1374	8370
141	1383	8361
142	1393	8349
143	1401	8332
144	1410	8318
145	1419	8302
146	1428	8288
147	1436	8269
148	1445	8258
149	1454	8240
150	1463	8229
151	1472	8217
152	1480	8198
153	1488	8174
154	1496	8158
155	1503	8133
156	1511	8117
157	1518	8090
158	1527	8080
159	1534	8056
160	1542	8037
161	1549	8015
162	1557	7996
163	1564	7972
164	1572	7960
165	1579	7937
166	1589	7926
167	1596	7908
168	1604	7888
169	1610	7864
170	1618	7846
171	1625	7823
172	1633	7809
173	1640	7788
174	1647	7767
175	1655	7749
176	1662	7731
177	1671	7717
178	1678	7697
179	1686	7683
180	1694	7665
181	1702	7653
182	1709	7633
183	1717	7617
184	1724	7596
185	1731	7579
186	1738	7559
187	1745	7539
188	1752	7521
189	1759	7501
190	1767	7487
191	1774	7468
192	1783	7459
193	1791	7442
194	1799	7428
195	1806	7412
196	1816	7404
